,text,normalized,preprocessed,sentiment,emotion,stripped
496,Thanks https://t.co/QdXuCtWKC4,Thanks HTTPURL,Thanks url,POS,others,Thanks 
497,Soon it’s amazing video https://t.co/gPiwBY5f0r,Soon it's amazing video HTTPURL,Soon its amazing video url,POS,joy,Soon its amazing video 
498,RT @MITYPlaylist: DJ Khaled ft. Lil Durk &amp; Lil Baby - EVERY CHANCE I GET https://t.co/ZjdwtvHuto,RT @USER : DJ Khaled ft. Lil Durk & Lil Baby - EVERY CHANCE I GET HTTPURL,RT @user: DJ Khaled ft. Lil Durk &amp; Lil Baby - EVERY CHANCE I GET url,NEU,others,RT @user: DJ Khaled ft. Lil Durk &amp; Lil Baby - EVERY CHANCE I GET 
499,RT @Lstan94: #KHALEDKHALED on repeat!!!,RT @USER : #KHALEDKHALED on repeat!!!,RT @user: khaledkhaled on repeat!!!,NEU,others,RT @user: khaledkhaled on repeat!!!
500,RT @TheClubHits: #NowPlaying Dj Khaled ft Cardi B - BIG PAPER https://t.co/bgjYpNPCzu,RT @USER : #NowPlaying Dj Khaled ft Cardi B - BIG PAPER HTTPURL,RT @user: now playing Dj Khaled ft Cardi B - BIG PAPER url,NEU,others,RT @user: now playing Dj Khaled ft Cardi B - BIG PAPER 
501,RT @TheClubHits: #NowPlaying DJ Khaled ft Post Malone and Megan Thee Stallion and Lil baby and Dababy - I DID IT https://t.co/mSQ3iBDARe,RT @USER : #NowPlaying DJ Khaled ft Post Malone and Megan Thee Stallion and Lil baby and Dababy - I DID IT HTTPURL,RT @user: now playing DJ Khaled ft Post Malone and Megan Thee Stallion and Lil baby and Dababy - I DID IT url,NEU,others,RT @user: now playing DJ Khaled ft Post Malone and Megan Thee Stallion and Lil baby and Dababy - I DID IT 
502,RT @TheClubHits: #NowPlaying Dj Khaled ft Cardi B - BIG PAPER https://t.co/Ir1hqZl4VS,RT @USER : #NowPlaying Dj Khaled ft Cardi B - BIG PAPER HTTPURL,RT @user: now playing Dj Khaled ft Cardi B - BIG PAPER url,NEU,others,RT @user: now playing Dj Khaled ft Cardi B - BIG PAPER 
503,RT @Daliso_LU28IM: Ross ate them ohns on #ThisIsMyYear #KHALEDKHALED https://t.co/B79VIltC5e,RT @USER : Ross ate them ohns on #ThisIsMyYear #KHALEDKHALED HTTPURL,RT @user: Ross ate them ohns on this is my year khaledkhaled url,NEU,others,RT @user: Ross ate them ohns on this is my year khaledkhaled 
504,RT @TheClubHits: #NowPlaying DJ Khaled ft Rick Ross ft A Boogie Wit da Hoodie and Big Sean and Puff Daddy - THIS IS MY YEAR https://t.co/0C…,RT @USER : #NowPlaying DJ Khaled ft Rick Ross ft A Boogie Wit da Hoodie and Big Sean and Puff Daddy - THIS IS MY YEAR HTTPURL...,RT @user: now playing DJ Khaled ft Rick Ross ft A Boogie Wit da Hoodie and Big Sean and Puff Daddy - THIS IS MY YEAR url,NEU,others,RT @user: now playing DJ Khaled ft Rick Ross ft A Boogie Wit da Hoodie and Big Sean and Puff Daddy - THIS IS MY YEAR 
505,"RT @Joseph_Jokama: The Jokama Cartoon Effect on @djkhaled 
#KHALEDKHALED https://t.co/0Z1fmd0vXK",RT @USER : The Jokama Cartoon Effect on @USER #KHALEDKHALED HTTPURL,"RT @user: The Jokama Cartoon Effect on @user 
khaledkhaled url",NEU,others,"RT @user: The Jokama Cartoon Effect on @user 
khaledkhaled "
506,"RT @HotNewHipHop: Lil Baby and Lil Durk connect with DJ Khaled for the electrifying ""EVERY CHANCE I GET"" visuals.
https://t.co/AjkwPVM6bn","RT @USER : Lil Baby and Lil Durk connect with DJ Khaled for the electrifying "" EVERY CHANCE I GET "" visuals. HTTPURL","RT @user: Lil Baby and Lil Durk connect with DJ Khaled for the electrifying ""EVERY CHANCE I GET"" visuals.
url",NEU,joy,"RT @user: Lil Baby and Lil Durk connect with DJ Khaled for the electrifying ""EVERY CHANCE I GET"" visuals.
"
507,"RT @NaziahOfficial: @djkhaled put it on repeat, fell asleep, and woke up to it and it’s still playing 😌 #KHALEDKHALED https://t.co/hfplqDkP…","RT @USER : @USER put it on repeat, fell asleep, and woke up to it and it's still playing :relieved_face: #KHALEDKHALED HTTPURL...","RT @user: @user put it on repeat, fell asleep, and woke up to it and its still playing  emoji relieved face emoji  khaledkhaled url",NEU,joy,"RT @user: @user put it on repeat, fell asleep, and woke up to it and its still playing  emoji relieved face emoji  khaledkhaled "
508,RT @WofahKay1: Wow @djkhaled retweeting people's tweets on his album #KHALEDKHALED is great love ❤️👑.,RT @USER : Wow @USER retweeting people's tweets on his album #KHALEDKHALED is great love :red_heart: :crown:.,RT @user: Wow @user retweeting people's tweets on his album khaledkhaled is great love  emoji crown emoji .,POS,joy,RT @user: Wow @user retweeting people's tweets on his album khaledkhaled is great love  emoji crown emoji .
509,RT @TheClubHits: #NowPlaying DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO https://t.co/4hC0iPjbzs,RT @USER : #NowPlaying DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO HTTPURL,RT @user: now playing DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO url,NEU,others,RT @user: now playing DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO 
510,RT @TheClubHits: #NowPlaying DJ Khaled ft Lil Wayne and Jeremih - THANKFUL https://t.co/y0GM6pc0x6,RT @USER : #NowPlaying DJ Khaled ft Lil Wayne and Jeremih - THANKFUL HTTPURL,RT @user: now playing DJ Khaled ft Lil Wayne and Jeremih - THANKFUL url,NEU,others,RT @user: now playing DJ Khaled ft Lil Wayne and Jeremih - THANKFUL 
511,"RT @Deezer: Have you heard @djkhaled’s new album #KhaledKhaled yet?

It’s officially Rap album of the week! #AnotherOne

Listen on Deezer.…",RT @USER : Have you heard @USER's new album #KhaledKhaled yet? It's officially Rap album of the week! #AnotherOne Listen on Deezer...,"RT @user: Have you heard @user new album khaled khaled yet?

Its officially Rap album of the week! another one

Listen on Deezer.",NEU,joy,"RT @user: Have you heard @user new album khaled khaled yet?

Its officially Rap album of the week! another one

Listen on Deezer."
512,RT @_ItsBigRez: DJ Khaled’s growth has been beautiful. https://t.co/7sz8Se2KcT,RT @USER : DJ Khaled's growth has been beautiful. HTTPURL,RT @user: DJ Khaleds growth has been beautiful. url,POS,joy,RT @user: DJ Khaleds growth has been beautiful. 
513,RT @1ndividual: All them collaborations Khaled have on his album and Capleton is the BADDEST with 39 seconds 🔥🔥🤣 https://t.co/FaCvtDoleE,RT @USER : All them collaborations Khaled have on his album and Capleton is the BADDEST with 39 seconds :fire: :fire: :rolling_on_the_floor_laughing: HTTPURL,RT @user: All them collaborations Khaled have on his album and Capleton is the BADDEST with 39 seconds  emoji fire emoji  emoji fire emoji  emoji rolling on the floor laughing emoji  url,NEU,others,RT @user: All them collaborations Khaled have on his album and Capleton is the BADDEST with 39 seconds  emoji fire emoji  emoji fire emoji  emoji rolling on the floor laughing emoji  
514,RT @AyoAtitebi: ‘Just Be’ is my favourite track on DJ Khaled’s new album. Justin Timberlake  couldn’t have sung it better.,RT @USER : ‘ Just Be'is my favourite track on DJ Khaled's new album. Justin Timberlake couldn't have sung it better.,RT @user: Just Be is my favourite track on DJ Khaleds new album. Justin Timberlake  couldnt have sung it better.,POS,joy,RT @user: Just Be is my favourite track on DJ Khaleds new album. Justin Timberlake  couldnt have sung it better.
515,RT @Blackprint16: Best album 💿 of all time from my legend and idol @djkhaled. This my playlist from khaled khaled album. Keep on streaming…,RT @USER : Best album :optical_disk: of all time from my legend and idol @USER. This my playlist from khaled khaled album. Keep on streaming...,RT @user: Best album  emoji optical disk emoji  of all time from my legend and idol @user. This my playlist from khaled khaled album. Keep on streaming,POS,joy,RT @user: Best album  emoji optical disk emoji  of all time from my legend and idol @user. This my playlist from khaled khaled album. Keep on streaming
516,RT @TheClubHits: #NowPlaying DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO https://t.co/XmBHDAN3WT,RT @USER : #NowPlaying DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO HTTPURL,RT @user: now playing DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO url,NEU,others,RT @user: now playing DJ Khaled ft Justin Bieber and 21 Savage - LET IT GO 
517,RT @InfoDurkSource: DJ Khaled x Lil Baby in the studio recording for EVERY CHANCE I GET. https://t.co/ATY9jJlzGC,RT @USER : DJ Khaled x Lil Baby in the studio recording for EVERY CHANCE I GET. HTTPURL,RT @user: DJ Khaled x Lil Baby in the studio recording for EVERY CHANCE I GET. url,NEU,others,RT @user: DJ Khaled x Lil Baby in the studio recording for EVERY CHANCE I GET. 
518,RT @TheClubHits: #NowPlaying Dj Khaled ft Lil Baby and Lil Durk - EVERY CHANCE I GET https://t.co/7eBnouFax3,RT @USER : #NowPlaying Dj Khaled ft Lil Baby and Lil Durk - EVERY CHANCE I GET HTTPURL,RT @user: now playing Dj Khaled ft Lil Baby and Lil Durk - EVERY CHANCE I GET url,NEU,others,RT @user: now playing Dj Khaled ft Lil Baby and Lil Durk - EVERY CHANCE I GET 
519,RT @justinbieber: https://t.co/I2HzVTGYm8,RT @USER : HTTPURL,RT @user: url,NEU,others,RT @user: 
520,RT @XXL: EXCLUSIVE: Lil Baby asks DJ Khaled how he got Jay-Z and Nas on the same track together https://t.co/LFSp6n9eDv,RT @USER : EXCLUSIVE : Lil Baby asks DJ Khaled how he got Jay-Z and Nas on the same track together HTTPURL,RT @user: EXCLUSIVE: Lil Baby asks DJ Khaled how he got Jay-Z and Nas on the same track together url,NEU,others,RT @user: EXCLUSIVE: Lil Baby asks DJ Khaled how he got Jay-Z and Nas on the same track together 
521,"RT @XXL: DJ Khaled talks putting Jay-Z and Nas on a track together:

“...I wanted to inspire the youth dem, you nah I mean, if you ever be…","RT @USER : DJ Khaled talks putting Jay-Z and Nas on a track together : “... I wanted to inspire the youth dem, you nah I mean, if you ever be...","RT @user: DJ Khaled talks putting Jay-Z and Nas on a track together:

""...I wanted to inspire the youth dem, you nah I mean, if you ever be",NEU,others,"RT @user: DJ Khaled talks putting Jay-Z and Nas on a track together:

""...I wanted to inspire the youth dem, you nah I mean, if you ever be"
522,Keep going,Keep going,Keep going,POS,others,Keep going
523,"RT @billboard: Nothing is safe from the flames in @DJKhaled's new ""Every Chance I Get"" video, featuring Lil Baby and Lil Durk https://t.co/…","RT @USER : Nothing is safe from the flames in @USER's new "" Every Chance I Get "" video, featuring Lil Baby and Lil Durk HTTPURL...","RT @user: Nothing is safe from the flames in @user's new ""Every Chance I Get"" video, featuring Lil Baby and Lil Durk url/",NEG,others,"RT @user: Nothing is safe from the flames in @user's new ""Every Chance I Get"" video, featuring Lil Baby and Lil Durk /"
524,"RT @djdemko: #New @djkhaled w/ @PostMalone @theestallion @lilbaby4PF @DaBabyDaBaby - ""I Did It"" at 9pm tonight #Tuesday for my #DailyDownlo…","RT @USER : #New @USER w / @USER @USER @USER @USER - "" I Did It "" at 9pm tonight #Tuesday for my #DailyDownlo...","RT @user: new @user w/ @user @user @user @user - ""I Did It"" at 9pm tonight tuesday for my daily downlo",NEU,others,"RT @user: new @user w/ @user @user @user @user - ""I Did It"" at 9pm tonight tuesday for my daily downlo"
525,"RT @RocNation: 🎥 𝐄𝐕𝐄𝐑𝐘 𝐂𝐇𝐀𝐍𝐂𝐄 𝐈 𝐆𝐄𝐓 ⚡
https://t.co/2e8WcSnTIf https://t.co/bFCcnVBoAX",RT @USER : :movie_camera: 𝐄𝐄𝐀𝐄:high_voltage: HTTPURL HTTPURL,"RT @user:  emoji movie camera emoji  𝐄𝐕𝐄𝐑𝐘 𝐂𝐇𝐀𝐍𝐂𝐄 𝐈 𝐆𝐄𝐓  emoji high voltage emoji 
url url",NEU,others,"RT @user:  emoji movie camera emoji  𝐄𝐕𝐄𝐑𝐘 𝐂𝐇𝐀𝐍𝐂𝐄 𝐈 𝐆𝐄𝐓  emoji high voltage emoji 
 "
526,RT @jtimberlake: Big love to @djkhaled for asking me to be a part of this #KhaledKhaled album! 🙌🏻 ALWAYS BE YOU!!!,RT @USER : Big love to @USER for asking me to be a part of this #KhaledKhaled album! :raising_hands: :light_skin_tone: ALWAYS BE YOU!!!,RT @user: Big love to @user for asking me to be a part of this khaled khaled album!  emoji raising hands light skin tone emoji  ALWAYS BE YOU!!!,POS,joy,RT @user: Big love to @user for asking me to be a part of this khaled khaled album!  emoji raising hands light skin tone emoji  ALWAYS BE YOU!!!
527,EVERY CHANCE I GET 🎥 VIDEO OUT NOW ON @youtubemusic  @djkhaled @lilbaby @lildurk 🔥🔥🔥🔥 https://t.co/eDDcaIDujX,EVERY CHANCE I GET :movie_camera: VIDEO OUT NOW ON @USER @USER @USER @USER :fire: :fire: :fire: HTTPURL,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  url,POS,others,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  
528,EVERY CHANCE I GET 🎥 VIDEO OUT NOW ON @youtubemusic  @djkhaled @lilbaby @lildurk 🔥🔥🔥🔥 https://t.co/WuPceJoqKU,EVERY CHANCE I GET :movie_camera: VIDEO OUT NOW ON @USER @USER @USER @USER :fire: :fire: :fire: HTTPURL,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  url,POS,others,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  
529,EVERY CHANCE I GET 🎥 VIDEO OUT NOW ON @youtubemusic  @djkhaled @lilbaby @lildurk 🔥🔥🔥🔥 https://t.co/B8Y7yCQDFB,EVERY CHANCE I GET :movie_camera: VIDEO OUT NOW ON @USER @USER @USER @USER :fire: :fire: :fire: HTTPURL,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  url,POS,others,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  
530,EVERY CHANCE I GET 🎥 VIDEO OUT NOW ON @youtubemusic  @djkhaled @lilbaby @lildurk 🔥🔥🔥🔥 https://t.co/x4WeVJkUaK,EVERY CHANCE I GET :movie_camera: VIDEO OUT NOW ON @USER @USER @USER @USER :fire: :fire: :fire: HTTPURL,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  url,POS,others,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user  @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  
531,EVERY CHANCE I GET 🎥 VIDEO OUT NOW ON @youtubemusic @lilbaby @lildurk 🔥🔥🔥🔥 https://t.co/nG60EwAYx8,EVERY CHANCE I GET :movie_camera: VIDEO OUT NOW ON @USER @USER @USER :fire: :fire: :fire: HTTPURL,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  url,POS,others,EVERY CHANCE I GET  emoji movie camera emoji  VIDEO OUT NOW ON @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  
532,RT @AmirLgnd: Best song out,RT @USER : Best song out,RT @user: Best song out,POS,joy,RT @user: Best song out
533,"RT @UPROXX: .@djkhaled, @lilbaby4PF, and @lildurk bring the fire in their video for 'Every Chance I Get' https://t.co/8wtXko70Mh","RT @USER :. @USER, @USER, and @USER bring the fire in their video for'Every Chance I Get'HTTPURL","RT @user: .@user, @user, and @user bring the fire in their video for 'Every Chance I Get' url",POS,others,"RT @user: .@user, @user, and @user bring the fire in their video for 'Every Chance I Get' "
534,"😳EVERY CHANCE I GET VIDEO on @youtubemusic NOW 👀🔥 🤯
ON @youtubemusic 
@djkhaled @lilbaby @lildurk @taykeith… https://t.co/VcpjEkPdRw",:flushed_face: EVERY CHANCE I GET VIDEO on @USER NOW :eyes: :fire: :exploding_head: ON @USER @USER @USER @USER @USER... HTTPURL,"emoji flushed face emoji EVERY CHANCE I GET VIDEO on @user NOW  emoji eyes emoji  emoji fire emoji   emoji exploding head emoji 
ON @user 
@user @user @user @user url",NEU,others,"emoji flushed face emoji EVERY CHANCE I GET VIDEO on @user NOW  emoji eyes emoji  emoji fire emoji   emoji exploding head emoji 
ON @user 
@user @user @user @user "
535,"😳EVERY CHANCE I GET VIDEO on @youtubemusic NOW 👀🔥 🤯
ON @youtubemusic 
@djkhaled @lilbaby @lildurk @taykeith… https://t.co/FvKEIWqT6h",:flushed_face: EVERY CHANCE I GET VIDEO on @USER NOW :eyes: :fire: :exploding_head: ON @USER @USER @USER @USER @USER... HTTPURL,"emoji flushed face emoji EVERY CHANCE I GET VIDEO on @user NOW  emoji eyes emoji  emoji fire emoji   emoji exploding head emoji 
ON @user 
@user @user @user @user url",NEU,others,"emoji flushed face emoji EVERY CHANCE I GET VIDEO on @user NOW  emoji eyes emoji  emoji fire emoji   emoji exploding head emoji 
ON @user 
@user @user @user @user "
536,"😳EVERY CHANCE I GET VIDEO on @youtubemusic NOW 👀🔥 🤯
ON @youtubemusic 
@djkhaled @lilbaby @lildurk @taykeith… https://t.co/WczpFmer85",:flushed_face: EVERY CHANCE I GET VIDEO on @USER NOW :eyes: :fire: :exploding_head: ON @USER @USER @USER @USER @USER... HTTPURL,"emoji flushed face emoji EVERY CHANCE I GET VIDEO on @user NOW  emoji eyes emoji  emoji fire emoji   emoji exploding head emoji 
ON @user 
@user @user @user @user url",NEU,others,"emoji flushed face emoji EVERY CHANCE I GET VIDEO on @user NOW  emoji eyes emoji  emoji fire emoji   emoji exploding head emoji 
ON @user 
@user @user @user @user "
537,RT @iamkingwize: Aye yo this @djkhaled @HERMusicx @Migos track going crazy,RT @USER : Aye yo this @USER @USER @USER track going crazy,RT @user: Aye yo this @user @user @user track going crazy,POS,surprise,RT @user: Aye yo this @user @user @user track going crazy
538,"#KHALEDKHALED #EVERYCHANCEIGET 
@wethebestmusic",#KHALEDKHALED #EVERYCHANCEIGET @USER,"khaledkhaled everychanceiget 
@user",NEU,others,"khaledkhaled everychanceiget 
@user"
539,Every chance I get video out now on @youtubemusic @djkhaled @lilbaby4PF @lildurk https://t.co/rZW3WSLC6J,Every chance I get video out now on @USER @USER @USER @USER HTTPURL,Every chance I get video out now on @user @user @user @user url,NEU,others,Every chance I get video out now on @user @user @user @user 
540,"EVERY CHANCE I GET 🎥 OUT NOW ON @youtubemusic @lilbaby4PF @lildurk 🔥🔥🔥🔥 #KHALEDKHALED  

https://t.co/FIMqzhh3iT",EVERY CHANCE I GET :movie_camera: OUT NOW ON @USER @USER @USER :fire: :fire: :fire: #KHALEDKHALED HTTPURL,"EVERY CHANCE I GET  emoji movie camera emoji  OUT NOW ON @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  khaledkhaled  

url",POS,others,"EVERY CHANCE I GET  emoji movie camera emoji  OUT NOW ON @user @user @user  emoji fire emoji  emoji fire emoji  emoji fire emoji  khaledkhaled  

"
541,"EVERY CHANCE I GET VIDEO COMING TONIGHT 👀🔥 
ON @youtubemusic 
@djkhaled @lilbaby @lildurk 
KHALED KHALED AVAILABLE… https://t.co/eBRL06iMy9",EVERY CHANCE I GET VIDEO COMING TONIGHT :eyes: :fire: ON @USER @USER @USER @USER KHALED KHALED AVAILABLE... HTTPURL,"EVERY CHANCE I GET VIDEO COMING TONIGHT  emoji eyes emoji  emoji fire emoji  
ON @user 
@user @user @user 
KHALED KHALED AVAILABLE url",NEU,others,"EVERY CHANCE I GET VIDEO COMING TONIGHT  emoji eyes emoji  emoji fire emoji  
ON @user 
@user @user @user 
KHALED KHALED AVAILABLE "
542,EVERYTHING PURE! #KHALEDKHALED https://t.co/ISlEfysFdh https://t.co/wSTsgJhi63,EVERYTHING PURE! #KHALEDKHALED HTTPURL HTTPURL,EVERYTHING PURE! khaledkhaled url url,POS,joy,EVERYTHING PURE! khaledkhaled  
543,#KHALEDKHALED https://t.co/wGtgm0wSBJ https://t.co/bILMgzKDEO,#KHALEDKHALED HTTPURL HTTPURL,khaledkhaled url url,NEU,others,khaledkhaled  
544,"Bless up @theestallion #KHALEDKHALED 

https://t.co/Fyb72JW7Cy https://t.co/K10BHk0gUR https://t.co/YLJhalmp30",Bless up @USER #KHALEDKHALED HTTPURL HTTPURL HTTPURL,"Bless up @user khaledkhaled 

url url url",POS,joy,"Bless up @user khaledkhaled 

  "
545,#WHEREYOUCOMEFROM #KHALEDKHALED JAMAICA TO THR WORLD https://t.co/ASgvaNl9wR https://t.co/zcz38w3zDk https://t.co/SBUPGHEBNU,#WHEREYOUCOMEFROM #KHALEDKHALED JAMAICA TO THR WORLD HTTPURL HTTPURL HTTPURL,whereyoucomefrom khaledkhaled JAMAICA TO THR WORLD url url url,NEU,others,whereyoucomefrom khaledkhaled JAMAICA TO THR WORLD   
546,#KHALEDKHALED https://t.co/1N4e6pcZfr https://t.co/kvqmuBSH78,#KHALEDKHALED HTTPURL HTTPURL,khaledkhaled url url,NEU,others,khaledkhaled  
547,"#FANLUV TALK TO ME! #KHALEDKHALED 
https://t.co/Fj6z0T82bw https://t.co/9dCPZzZa9F",#FANLUV TALK TO ME! #KHALEDKHALED HTTPURL HTTPURL,"fanluv TALK TO ME! khaledkhaled 
url url",POS,joy,"fanluv TALK TO ME! khaledkhaled 
 "
548,#KHALEDKHALED https://t.co/tVOkgrSmHc https://t.co/MfdFqG1YL9 https://t.co/UQWv152gqc,#KHALEDKHALED HTTPURL HTTPURL HTTPURL,khaledkhaled url url url,NEU,others,khaledkhaled   
549,#SORRYNOTSORRY #KHALEDKHALED https://t.co/gHd7PwOwFU https://t.co/4jdNrrun2A https://t.co/0n5JGeg8bn,#SORRYNOTSORRY #KHALEDKHALED HTTPURL HTTPURL HTTPURL,sorrynotsorry khaledkhaled url url url,NEG,others,sorrynotsorry khaledkhaled   
550,#KHALEDKHALED BLESS UP @HERMusicx https://t.co/cTfSxjav3X https://t.co/g4xUaTcZ5z,#KHALEDKHALED BLESS UP @USER HTTPURL HTTPURL,khaledkhaled BLESS UP @user url url,POS,joy,khaledkhaled BLESS UP @user  
551,Love brother !!!!! Video coming soon !!!!! https://t.co/FR0MhZ7Q4E,Love brother!!! Video coming soon!!! HTTPURL,Love brother !!! Video coming soon !!! url,POS,joy,Love brother !!! Video coming soon !!! 
552,Bless up @justinbieber #KHALEDKHALED https://t.co/FR0MhZ7Q4E,Bless up @USER #KHALEDKHALED HTTPURL,Bless up @user khaledkhaled url,POS,joy,Bless up @user khaledkhaled 
553,@tnxliwl #KHALEDKHALED https://t.co/gX5rmzuOwD,@USER #KHALEDKHALED HTTPURL,@user khaledkhaled url,NEU,others,@user khaledkhaled 
554,#KHALEDKHALED EVERY CHANCE I GET! Bless up @lilbaby4PF @lildurk https://t.co/8RbGco7b6q https://t.co/tyaVyJbzCN https://t.co/vxIkEOwQHj,#KHALEDKHALED EVERY CHANCE I GET! Bless up @USER @USER HTTPURL HTTPURL HTTPURL,khaledkhaled EVERY CHANCE I GET! Bless up @user @user url url url,NEU,joy,khaledkhaled EVERY CHANCE I GET! Bless up @user @user   
555,Tweet me using #KHALEDKHALED so I see all the questions!,Tweet me using #KHALEDKHALED so I see all the questions!,Tweet me using khaledkhaled so I see all the questions!,NEU,others,Tweet me using khaledkhaled so I see all the questions!
556,It’s coming real soon and it’s amazing !!!!!! https://t.co/5yEB962rO7,It's coming real soon and it's amazing!!! HTTPURL,Its coming real soon and its amazing !!! url,POS,joy,Its coming real soon and its amazing !!! 
557,https://t.co/Depj0F8OgU https://t.co/EqeL9wpiF1,HTTPURL HTTPURL,https://url url,NEU,others,https:// 
558,"#KHALEDKHALED #EVERYCHANCEIGET let me hear your questions 👂🏽
https://t.co/8RbGco7b6q https://t.co/DBAO1EQM5J",#KHALEDKHALED #EVERYCHANCEIGET let me hear your questions :ear: :medium_skin_tone: HTTPURL HTTPURL,"khaledkhaled everychanceiget let me hear your questions  emoji ear medium skin tone emoji 
url url",NEU,others,"khaledkhaled everychanceiget let me hear your questions  emoji ear medium skin tone emoji 
 "
559,#LETITGO MOVIE COMING SOON #KHALEDKHALED https://t.co/XSAuW0Mltk https://t.co/m3ojbsCqMa,#LETITGO MOVIE COMING SOON #KHALEDKHALED HTTPURL HTTPURL,letitgo MOVIE COMING SOON khaledkhaled url url,NEU,others,letitgo MOVIE COMING SOON khaledkhaled  
560,#KHALEDKHALED #THANKFUL https://t.co/Ibt6McDDyz https://t.co/eIbOzrtfpb,#KHALEDKHALED #THANKFUL HTTPURL HTTPURL,khaledkhaled thankful url url,NEU,joy,khaledkhaled thankful  
561,https://t.co/RdsU8TQDr6. https://t.co/yiTnFpxgNH,HTTPURL. HTTPURL,https://url. url,NEU,others,https://. 
562,"Let’s start the show. Y’all tuned in??? #THANKFUL my intro! Hit me with questions! #KHALEDKHALED 
https://t.co/RdsU8TQDr6",Let's start the show. Y'all tuned in??? #THANKFUL my intro! Hit me with questions! #KHALEDKHALED HTTPURL,"Lets start the show. Yall tuned in??? thankful my intro! Hit me with questions! khaledkhaled 
url",POS,joy,"Lets start the show. Yall tuned in??? thankful my intro! Hit me with questions! khaledkhaled 
"
563,#FANLUV Get y’all’s question ready! I’m here #KHALEDKHALED,#FANLUV Get y'all's question ready! I'm here #KHALEDKHALED,fanluv Get yalls question ready! Im here khaledkhaled,NEU,others,fanluv Get yalls question ready! Im here khaledkhaled
564,"BLESSWELL COMING SOON! 
You know we the Best and so blessed. 

Livewell, Lovewell, Blesswell
Team Khaled Meeting wi… https://t.co/yGN2cdcl8Y","BLESSWELL COMING SOON! You know we the Best and so blessed. Livewell, Lovewell, Blesswell Team Khaled Meeting wi... HTTPURL","BLESSWELL COMING SOON! 
You know we the Best and so blessed. 

Livewell, Lovewell, Blesswell
Team Khaled Meeting wi url",POS,joy,"BLESSWELL COMING SOON! 
You know we the Best and so blessed. 

Livewell, Lovewell, Blesswell
Team Khaled Meeting wi "
565,RT @WokemillRadio: #NowPlaying @djkhaled ft. @lilbaby4PF &amp; @lildurk - Every Chance I Get #ListenIn https://t.co/POJYaYW0jl,RT @USER : #NowPlaying @USER ft. @USER & @USER - Every Chance I Get #ListenIn HTTPURL,RT @user: now playing @user ft. @user &amp; @user - Every Chance I Get listen in url,NEU,others,RT @user: now playing @user ft. @user &amp; @user - Every Chance I Get listen in 
566,"RT @yourbiebernews: "" @21savage @djkhaled they say time is money but money can’t make no Time"" 
- Justin via Instagram https://t.co/SO9aAxc…","RT @USER : "" @USER @USER they say time is money but money can't make no Time "" - Justin via Instagram HTTPURL...","RT @user: "" @user @user they say time is money but money cant make no Time"" 
- Justin via Instagram url",NEU,others,"RT @user: "" @user @user they say time is money but money cant make no Time"" 
- Justin via Instagram "
567,RT @whoisleonora_: Honestly @djkhaled’s #KHALEDKHALED is exactly what we needed right now #ForTheCulture #Blessup 🙏🏽,RT @USER : Honestly @USER's #KHALEDKHALED is exactly what we needed right now #ForTheCulture #Blessup :folded_hands: :medium_skin_tone:,RT @user: Honestly @user khaledkhaled is exactly what we needed right now for the culture blessup  emoji folded hands medium skin tone emoji,POS,others,RT @user: Honestly @user khaledkhaled is exactly what we needed right now for the culture blessup  emoji folded hands medium skin tone emoji
